epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.137,2.13944,24.8571,0.00171,0.75513,0.55172,0.59883,0.28179,1.7609,14.9237,0.00211,0.000663818,0.000663818,0.000663818
2,274.928,2.0541,10.1608,0.00158,0.85181,0.58934,0.67205,0.30664,1.9417,6.71433,0.00236,0.00131402,0.00131402,0.00131402
3,392.78,2.07525,5.19705,0.0016,0.8011,0.55556,0.64713,0.29433,1.88446,3.63067,0.00226,0.00194772,0.00194772,0.00194772
4,510.443,2.09521,2.85196,0.00162,0.84889,0.63323,0.71508,0.34572,1.80935,2.41453,0.0021,0.00192575,0.00192575,0.00192575
5,627.997,2.04385,2.16553,0.00155,0.69645,0.6545,0.65892,0.30362,1.94525,2.09632,0.0022,0.001901,0.001901,0.001901
6,745.557,2.05125,1.89105,0.00162,0.73629,0.6395,0.70207,0.30965,1.9706,1.78514,0.00226,0.00187625,0.00187625,0.00187625
7,863.215,2.01074,1.66905,0.00156,0.74539,0.67712,0.73618,0.35037,1.80113,1.62645,0.00215,0.0018515,0.0018515,0.0018515
8,980.877,1.98493,1.47863,0.00153,0.84001,0.66771,0.77533,0.36683,1.8301,1.5466,0.00208,0.00182675,0.00182675,0.00182675
9,1099.6,2.00531,1.47456,0.0015,0.85293,0.6395,0.75303,0.37939,1.74136,1.30335,0.00204,0.001802,0.001802,0.001802
10,1219.56,1.96261,1.38326,0.00147,0.86818,0.72264,0.79815,0.39153,1.74475,1.29003,0.00199,0.00177725,0.00177725,0.00177725
11,1344.16,1.96461,1.32811,0.00144,0.81416,0.73981,0.80684,0.40785,1.74919,1.1596,0.00204,0.0017525,0.0017525,0.0017525
12,1463.95,1.94031,1.25629,0.00148,0.91787,0.70069,0.80586,0.4129,1.72441,1.11777,0.00196,0.00172775,0.00172775,0.00172775
13,1583.6,1.94951,1.25279,0.00147,0.89262,0.71473,0.79429,0.38082,1.79616,1.23455,0.00218,0.001703,0.001703,0.001703
14,1703.01,1.92892,1.19818,0.00148,0.80752,0.75549,0.80455,0.40636,1.70645,1.32929,0.00192,0.00167825,0.00167825,0.00167825
15,1822.46,1.96119,1.19366,0.00149,0.87601,0.73041,0.80905,0.41256,1.74447,1.16552,0.00199,0.0016535,0.0016535,0.0016535
16,1942.36,1.92895,1.17308,0.00145,0.83506,0.74592,0.80523,0.38983,1.82061,1.22615,0.00212,0.00162875,0.00162875,0.00162875
