epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3515.54,1.69421,0.74689,0.00125,0.95605,0.86623,0.92464,0.46433,1.80085,0.70151,0.00205,0.00098525,0.00098525,0.00098525
43,3593.73,1.77025,0.74861,0.00127,0.95123,0.87611,0.92871,0.45824,1.84014,0.68936,0.0021,0.0009605,0.0009605,0.0009605
44,3665.76,1.74121,0.69425,0.00131,0.96584,0.87168,0.92312,0.46967,1.73468,0.68,0.00198,0.00093575,0.00093575,0.00093575
45,3741.6,1.68748,0.70136,0.00125,0.96308,0.88053,0.93405,0.46253,1.75981,0.68047,0.00198,0.000911,0.000911,0.000911
46,3817.35,1.72292,0.67766,0.00124,0.94577,0.87611,0.92618,0.45905,1.76995,0.70321,0.00198,0.00088625,0.00088625,0.00088625
47,3895.57,1.72665,0.72805,0.00128,0.978,0.87611,0.93522,0.46572,1.77436,0.66416,0.002,0.0008615,0.0008615,0.0008615
48,3967.54,1.74759,0.7203,0.00128,0.97967,0.85307,0.93029,0.45814,1.79986,0.69761,0.00202,0.00083675,0.00083675,0.00083675
49,4045.5,1.70879,0.69595,0.00124,0.96565,0.87079,0.92045,0.45408,1.81852,0.74053,0.00201,0.000812,0.000812,0.000812
50,4117.5,1.69205,0.67015,0.00127,0.92575,0.88273,0.9208,0.45443,1.80174,0.72957,0.00202,0.00078725,0.00078725,0.00078725
51,4195.46,1.70083,0.67457,0.00122,0.91312,0.88496,0.91522,0.46063,1.73954,0.74973,0.00198,0.0007625,0.0007625,0.0007625
52,4270.64,1.67532,0.66707,0.00124,0.94284,0.87575,0.93488,0.46961,1.73045,0.71132,0.00195,0.00073775,0.00073775,0.00073775
53,4348.83,1.64199,0.66761,0.0012,0.90282,0.89823,0.92861,0.4806,1.70411,0.68784,0.00191,0.000713,0.000713,0.000713
54,4420.57,1.65144,0.64388,0.0012,0.93419,0.87939,0.9157,0.47783,1.72516,0.69932,0.00195,0.00068825,0.00068825,0.00068825
55,4500.92,1.64418,0.66422,0.00123,0.93728,0.88496,0.93022,0.47404,1.69295,0.70052,0.00191,0.0006635,0.0006635,0.0006635
56,4576.2,1.67607,0.6511,0.00119,0.94901,0.87168,0.93345,0.48182,1.71835,0.66407,0.00194,0.00063875,0.00063875,0.00063875
57,4657.12,1.64538,0.62251,0.00119,0.94276,0.89823,0.94363,0.4811,1.72589,0.63777,0.00193,0.000614,0.000614,0.000614
58,4732.52,1.66461,0.62314,0.00119,0.96635,0.88952,0.93324,0.46949,1.79486,0.65354,0.00201,0.00058925,0.00058925,0.00058925
59,4813.57,1.65731,0.6395,0.00115,0.942,0.89823,0.93736,0.47577,1.75435,0.65654,0.00197,0.0005645,0.0005645,0.0005645
60,4888.6,1.64405,0.65449,0.00121,0.9297,0.89823,0.93689,0.4721,1.72057,0.67112,0.00195,0.00053975,0.00053975,0.00053975
61,4969.16,1.62957,0.62615,0.00118,0.9357,0.90145,0.94221,0.49042,1.68706,0.64002,0.00189,0.000515,0.000515,0.000515
62,5044.48,1.63133,0.62038,0.0012,0.93192,0.89823,0.94429,0.48502,1.71353,0.642,0.00193,0.00049025,0.00049025,0.00049025
63,5125.69,1.6002,0.60241,0.00119,0.94424,0.89922,0.94187,0.48556,1.69289,0.66934,0.0019,0.0004655,0.0004655,0.0004655
64,5201.12,1.58984,0.62119,0.00113,0.96631,0.88837,0.94603,0.48878,1.70131,0.63754,0.00192,0.00044075,0.00044075,0.00044075
65,5281.44,1.59257,0.6049,0.00113,0.94374,0.90265,0.94568,0.49197,1.69214,0.63377,0.0019,0.000416,0.000416,0.000416
66,5356.52,1.56477,0.57125,0.0011,0.93106,0.89645,0.93029,0.47972,1.7129,0.64332,0.00193,0.00039125,0.00039125,0.00039125
67,5437.42,1.61322,0.5735,0.00113,0.96191,0.89385,0.93692,0.47986,1.70027,0.65867,0.00192,0.0003665,0.0003665,0.0003665
68,5512.76,1.5604,0.58241,0.00111,0.94743,0.89823,0.94466,0.49101,1.68608,0.63957,0.00191,0.00034175,0.00034175,0.00034175
69,5593.63,1.58442,0.57586,0.00111,0.96046,0.88938,0.94137,0.48796,1.70509,0.66268,0.00193,0.000317,0.000317,0.000317
70,5668.74,1.57958,0.56127,0.0011,0.96624,0.90265,0.94672,0.49157,1.69719,0.62455,0.00191,0.00029225,0.00029225,0.00029225
71,5751.38,1.55946,0.60127,0.00114,0.96541,0.86459,0.93508,0.47939,1.71767,0.68665,0.00194,0.0002675,0.0002675,0.0002675
72,5826.06,1.53513,0.56584,0.00114,0.93896,0.88484,0.92734,0.48055,1.70086,0.69007,0.00191,0.00024275,0.00024275,0.00024275
73,5899.83,1.54118,0.58579,0.00114,0.95304,0.89823,0.94228,0.4892,1.69718,0.66579,0.00192,0.000218,0.000218,0.000218
74,5974.52,1.54883,0.55847,0.00114,0.96176,0.89028,0.94546,0.48916,1.6995,0.66452,0.00191,0.00019325,0.00019325,0.00019325
75,6055.02,1.52078,0.54053,0.00113,0.95076,0.89381,0.93833,0.47966,1.71687,0.68562,0.00193,0.0001685,0.0001685,0.0001685
76,6129.81,1.53397,0.53243,0.00114,0.96294,0.89381,0.94599,0.49048,1.67782,0.65977,0.00189,0.00014375,0.00014375,0.00014375
77,6208.97,1.50303,0.54088,0.00109,0.96256,0.89381,0.94629,0.48979,1.68375,0.66506,0.0019,0.000119,0.000119,0.000119
78,6289.34,1.53196,0.53039,0.00115,0.95459,0.88938,0.93787,0.48711,1.70415,0.66408,0.00191,9.425e-05,9.425e-05,9.425e-05
79,6373.63,1.48421,0.54322,0.00109,0.96187,0.89291,0.93686,0.48882,1.69543,0.66489,0.0019,6.95e-05,6.95e-05,6.95e-05
80,6454.18,1.49607,0.51323,0.0011,0.97098,0.88819,0.94548,0.49168,1.69057,0.66404,0.0019,4.475e-05,4.475e-05,4.475e-05
