epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5127.33,1.72252,0.77102,0.00126,0.90696,0.80511,0.87383,0.46447,1.69205,0.83468,0.00193,0.00098525,0.00098525,0.00098525
43,5240.64,1.70582,0.79475,0.00124,0.9161,0.82109,0.87451,0.45278,1.69306,0.81093,0.00194,0.0009605,0.0009605,0.0009605
44,5353.79,1.71997,0.84116,0.00127,0.93596,0.81789,0.89087,0.46291,1.71325,0.82657,0.00194,0.00093575,0.00093575,0.00093575
45,5466.94,1.71077,0.76144,0.00126,0.91444,0.82109,0.88999,0.46963,1.70742,0.78449,0.00196,0.000911,0.000911,0.000911
46,5579.94,1.6846,0.77159,0.00126,0.9444,0.81402,0.89634,0.46947,1.71006,0.76837,0.00196,0.00088625,0.00088625,0.00088625
47,5692.94,1.68233,0.72811,0.00123,0.92956,0.8011,0.88858,0.47161,1.68316,0.76584,0.00197,0.0008615,0.0008615,0.0008615
48,5806.06,1.67429,0.76067,0.00119,0.90076,0.8115,0.88593,0.45889,1.72442,0.84149,0.00197,0.00083675,0.00083675,0.00083675
49,5919.24,1.67892,0.75005,0.00122,0.89589,0.83067,0.88889,0.47101,1.66096,0.7806,0.0019,0.000812,0.000812,0.000812
50,6032.3,1.6715,0.76614,0.00122,0.94579,0.79872,0.8801,0.46569,1.67682,0.81419,0.00194,0.00078725,0.00078725,0.00078725
51,6145.29,1.65688,0.73126,0.00118,0.90524,0.82428,0.88752,0.46292,1.70094,0.77332,0.00198,0.0007625,0.0007625,0.0007625
52,6258.42,1.65354,0.72322,0.0012,0.93771,0.81757,0.88268,0.45304,1.71579,0.83079,0.00198,0.00073775,0.00073775,0.00073775
53,6371.56,1.63387,0.71171,0.00118,0.91438,0.81883,0.88829,0.45925,1.70703,0.79873,0.00198,0.000713,0.000713,0.000713
54,6484.64,1.6485,0.72207,0.00117,0.9221,0.82428,0.89062,0.47465,1.67675,0.74307,0.00196,0.00068825,0.00068825,0.00068825
55,6597.85,1.60213,0.68938,0.00114,0.87109,0.84197,0.88457,0.47375,1.6796,0.77783,0.00195,0.0006635,0.0006635,0.0006635
56,6711.05,1.61669,0.70242,0.00118,0.88836,0.84345,0.89628,0.47742,1.68973,0.78696,0.00197,0.00063875,0.00063875,0.00063875
57,6824.08,1.63295,0.68439,0.00115,0.9175,0.80511,0.87554,0.47559,1.69526,0.78629,0.00194,0.000614,0.000614,0.000614
58,6937.21,1.63502,0.67987,0.00116,0.92062,0.82748,0.8926,0.46989,1.68823,0.74125,0.00194,0.00058925,0.00058925,0.00058925
59,7055.5,1.61651,0.65583,0.00118,0.91024,0.84984,0.89503,0.47555,1.70595,0.7507,0.002,0.0005645,0.0005645,0.0005645
60,7168.47,1.59714,0.66468,0.00116,0.9248,0.82506,0.88657,0.46579,1.70829,0.78087,0.00195,0.00053975,0.00053975,0.00053975
61,7281.63,1.60047,0.66846,0.00113,0.90949,0.82428,0.88391,0.47285,1.66252,0.77253,0.00191,0.000515,0.000515,0.000515
62,7394.59,1.58109,0.65337,0.00116,0.91152,0.82748,0.88242,0.46542,1.71222,0.77949,0.00197,0.00049025,0.00049025,0.00049025
63,7516.99,1.57642,0.66546,0.00112,0.90919,0.82428,0.88783,0.47943,1.66501,0.7854,0.00191,0.0004655,0.0004655,0.0004655
64,7630.2,1.58522,0.6663,0.00113,0.91568,0.83271,0.88654,0.47298,1.69838,0.76332,0.00195,0.00044075,0.00044075,0.00044075
65,7743.31,1.5812,0.65344,0.00115,0.91538,0.82109,0.88455,0.47792,1.65604,0.75241,0.00188,0.000416,0.000416,0.000416
66,7856.34,1.59567,0.6339,0.00114,0.95588,0.79553,0.88691,0.47352,1.67809,0.75704,0.00195,0.00039125,0.00039125,0.00039125
67,7969.41,1.53478,0.62208,0.00111,0.89819,0.84984,0.88792,0.47773,1.65273,0.74129,0.0019,0.0003665,0.0003665,0.0003665
68,8087.68,1.55532,0.63219,0.00112,0.91045,0.82748,0.87806,0.46663,1.6725,0.75357,0.0019,0.00034175,0.00034175,0.00034175
69,8200.81,1.56414,0.64433,0.00112,0.94408,0.80902,0.88266,0.47551,1.63137,0.76466,0.00189,0.000317,0.000317,0.000317
70,8313.96,1.56347,0.6117,0.00113,0.90921,0.82748,0.88485,0.46929,1.65819,0.7648,0.00189,0.00029225,0.00029225,0.00029225
71,8431.19,1.54352,0.61476,0.00118,0.91711,0.80831,0.87699,0.45853,1.70191,0.78378,0.00198,0.0002675,0.0002675,0.0002675
72,8544.13,1.52835,0.61101,0.00114,0.92326,0.80715,0.87253,0.47344,1.6525,0.7921,0.00192,0.00024275,0.00024275,0.00024275
73,8657.05,1.51878,0.60125,0.00112,0.89692,0.8147,0.88258,0.47367,1.65788,0.79996,0.00192,0.000218,0.000218,0.000218
74,8769.94,1.46701,0.57901,0.00108,0.90257,0.82428,0.87494,0.47319,1.64268,0.78947,0.0019,0.00019325,0.00019325,0.00019325
75,8882.85,1.48783,0.58942,0.00114,0.91168,0.82444,0.87735,0.47804,1.65305,0.76389,0.00192,0.0001685,0.0001685,0.0001685
76,9002.4,1.4932,0.59495,0.00113,0.92687,0.80984,0.8749,0.47477,1.66387,0.77031,0.00193,0.00014375,0.00014375,0.00014375
77,9121.97,1.46056,0.55867,0.0011,0.93707,0.80877,0.87928,0.47474,1.65897,0.78602,0.00192,0.000119,0.000119,0.000119
78,9234.75,1.47946,0.57297,0.00111,0.92397,0.81531,0.87851,0.47934,1.65726,0.77568,0.00192,9.425e-05,9.425e-05,9.425e-05
79,9347.47,1.42975,0.56352,0.00107,0.92604,0.82428,0.87927,0.47704,1.65711,0.76704,0.00192,6.95e-05,6.95e-05,6.95e-05
80,9465.51,1.4696,0.5536,0.00109,0.90288,0.83166,0.88312,0.47804,1.65524,0.75849,0.00192,4.475e-05,4.475e-05,4.475e-05
