epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4592.3,1.0151,0.59592,0.00417,0.94275,0.85535,0.93867,0.70143,1.13793,0.70729,0.00517,0.00098525,0.00098525,0.00098525
43,4684.77,0.94944,0.58208,0.00363,0.92881,0.91824,0.93118,0.70049,1.09904,0.70082,0.00489,0.0009605,0.0009605,0.0009605
44,4770.34,0.95759,0.56898,0.00378,0.96464,0.85781,0.93412,0.7003,1.09448,0.71579,0.005,0.00093575,0.00093575,0.00093575
45,4849.2,0.95373,0.56328,0.00376,0.93301,0.87593,0.93994,0.70716,1.06176,0.64694,0.00455,0.000911,0.000911,0.000911
46,4928,0.94921,0.56217,0.00365,0.94731,0.86164,0.94849,0.70231,1.07021,0.68497,0.00479,0.00088625,0.00088625,0.00088625
47,5006.84,0.9396,0.56094,0.00358,0.95741,0.84831,0.92473,0.68982,1.04962,0.77012,0.00475,0.0008615,0.0008615,0.0008615
48,5085.75,0.89898,0.55562,0.00328,0.92788,0.91195,0.94059,0.71747,1.03367,0.68773,0.00464,0.00083675,0.00083675,0.00083675
49,5164.72,0.87065,0.53423,0.00337,0.93133,0.89308,0.93361,0.71002,0.99173,0.68747,0.00439,0.000812,0.000812,0.000812
50,5243.62,0.91487,0.52105,0.00331,0.96022,0.89937,0.94749,0.71679,1.01487,0.60952,0.00437,0.00078725,0.00078725,0.00078725
51,5322.61,0.90485,0.52432,0.00345,0.93871,0.87421,0.93294,0.71531,1.01107,0.66926,0.00426,0.0007625,0.0007625,0.0007625
52,5401.64,0.85675,0.49311,0.00318,0.96589,0.8906,0.9395,0.7277,0.93357,0.7026,0.00393,0.00073775,0.00073775,0.00073775
53,5480.68,0.84656,0.47855,0.00327,0.97999,0.89937,0.94868,0.73619,0.97259,0.69912,0.00427,0.000713,0.000713,0.000713
54,5559.72,0.85208,0.4661,0.00321,0.9334,0.91824,0.94551,0.73788,0.92283,0.61755,0.00388,0.00068825,0.00068825,0.00068825
55,5638.7,0.83619,0.47785,0.00315,0.9723,0.89308,0.94443,0.74317,0.91858,0.60255,0.00417,0.0006635,0.0006635,0.0006635
56,5717.75,0.86477,0.49532,0.00326,0.9579,0.90566,0.95006,0.73905,0.98129,0.5933,0.00423,0.00063875,0.00063875,0.00063875
57,5796.69,0.82913,0.48295,0.00323,0.97862,0.89308,0.95404,0.7446,0.94723,0.59257,0.00414,0.000614,0.000614,0.000614
58,5875.84,0.82736,0.45791,0.00309,0.98314,0.88679,0.95132,0.74181,0.9076,0.64389,0.00374,0.00058925,0.00058925,0.00058925
59,5954.91,0.81035,0.4648,0.00301,0.98816,0.86792,0.94601,0.73602,0.92666,0.67442,0.00391,0.0005645,0.0005645,0.0005645
60,6033.92,0.79272,0.42648,0.00286,0.92565,0.92453,0.94958,0.74179,0.93573,0.61442,0.00406,0.00053975,0.00053975,0.00053975
61,6112.9,0.81321,0.43644,0.00304,0.9523,0.87903,0.94563,0.74166,0.94369,0.64146,0.00408,0.000515,0.000515,0.000515
62,6191.94,0.75715,0.41389,0.00281,0.99144,0.89308,0.95121,0.74901,0.93988,0.59593,0.00412,0.00049025,0.00049025,0.00049025
63,6270.93,0.76494,0.43244,0.00292,0.97251,0.92453,0.95482,0.75603,0.8919,0.59047,0.00369,0.0004655,0.0004655,0.0004655
64,6349.97,0.76648,0.41276,0.00273,0.94202,0.91958,0.95588,0.76274,0.89983,0.57742,0.00377,0.00044075,0.00044075,0.00044075
65,6428.9,0.74463,0.39901,0.00279,0.99301,0.89285,0.94812,0.75552,0.8848,0.62308,0.00356,0.000416,0.000416,0.000416
66,6507.94,0.73805,0.40289,0.00279,0.98985,0.89937,0.94719,0.75395,0.90851,0.59576,0.0038,0.00039125,0.00039125,0.00039125
67,6587.01,0.74341,0.40356,0.00271,0.97293,0.90416,0.94825,0.76645,0.85643,0.59474,0.00339,0.0003665,0.0003665,0.0003665
68,6666.18,0.75272,0.42456,0.00266,0.98643,0.90566,0.95428,0.76667,0.86589,0.55505,0.00352,0.00034175,0.00034175,0.00034175
69,6745.31,0.70781,0.38012,0.00245,0.96741,0.93082,0.9501,0.76141,0.8687,0.56144,0.00351,0.000317,0.000317,0.000317
