epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.775,2.17304,24.745,0.00177,0.75292,0.51587,0.59506,0.27811,1.9147,15.1778,0.00229,0.000662942,0.000662942,0.000662942
2,253.134,2.12583,11.1054,0.00165,0.63769,0.55435,0.58781,0.28199,1.97161,7.59224,0.00239,0.00131316,0.00131316,0.00131316
3,363.027,2.1474,5.77366,0.0017,0.74337,0.62722,0.70451,0.31608,2.00698,4.46122,0.00246,0.00194687,0.00194687,0.00194687
4,473.762,2.12038,3.68032,0.00163,0.77025,0.59449,0.66766,0.29942,2.13273,3.14799,0.0026,0.00192575,0.00192575,0.00192575
5,577.582,2.08847,2.5676,0.00162,0.81789,0.67717,0.75129,0.34492,1.95015,2.19042,0.00242,0.001901,0.001901,0.001901
6,682.907,2.06188,2.03332,0.0016,0.83954,0.70035,0.76822,0.35897,1.94479,1.84698,0.00233,0.00187625,0.00187625,0.00187625
7,805.302,2.09034,1.83574,0.00156,0.85167,0.66535,0.78527,0.38454,1.90506,1.57194,0.0023,0.0018515,0.0018515,0.0018515
8,916.819,2.03771,1.56777,0.00153,0.83451,0.6811,0.79855,0.36652,2.03655,1.45686,0.00246,0.00182675,0.00182675,0.00182675
9,1029.37,2.03296,1.53043,0.00153,0.87102,0.66467,0.80018,0.39306,1.86468,1.34449,0.00224,0.001802,0.001802,0.001802
10,1139.8,1.99864,1.4381,0.00151,0.85224,0.69291,0.81341,0.41677,1.85234,1.28261,0.00223,0.00177725,0.00177725,0.00177725
11,1234.19,2.01486,1.37812,0.00151,0.83039,0.67462,0.76469,0.38903,1.83239,1.38709,0.0022,0.0017525,0.0017525,0.0017525
12,1333.69,1.97056,1.26733,0.00147,0.85103,0.69722,0.78354,0.40868,1.77413,1.30182,0.00209,0.00172775,0.00172775,0.00172775
13,1425.78,1.99453,1.2169,0.0015,0.8304,0.76378,0.83629,0.39365,1.94371,1.10758,0.00227,0.001703,0.001703,0.001703
14,1517.85,1.99433,1.22302,0.00146,0.90501,0.69685,0.82333,0.39169,1.93063,1.11825,0.00236,0.00167825,0.00167825,0.00167825
15,1609.68,1.98261,1.16548,0.00151,0.8352,0.75984,0.82205,0.40334,1.86165,1.11388,0.00219,0.0016535,0.0016535,0.0016535
16,1701.54,1.96751,1.12935,0.00148,0.84696,0.78437,0.84921,0.38049,1.98633,1.04951,0.00246,0.00162875,0.00162875,0.00162875
17,1793.59,1.96919,1.11005,0.00148,0.85216,0.72618,0.83072,0.39779,1.87979,1.08327,0.00225,0.001604,0.001604,0.001604
18,1885.44,1.9173,1.13129,0.00146,0.88629,0.73645,0.8071,0.39324,1.90701,1.15068,0.00231,0.00157925,0.00157925,0.00157925
19,1984.73,1.89922,1.07711,0.00143,0.85511,0.70866,0.81254,0.3945,1.9375,1.11254,0.00229,0.0015545,0.0015545,0.0015545
20,2081.83,1.91468,1.09639,0.0014,0.87125,0.77262,0.84956,0.41325,1.86782,1.00096,0.00228,0.00152975,0.00152975,0.00152975
21,2173.74,1.91749,1.04575,0.00142,0.91666,0.73617,0.8561,0.43831,1.83106,1.07014,0.00218,0.001505,0.001505,0.001505
22,2271.97,1.92112,1.03501,0.00139,0.90919,0.74016,0.84761,0.3925,1.97285,0.94239,0.00238,0.00148025,0.00148025,0.00148025
23,2370.16,1.90136,1.01324,0.0014,0.86353,0.8221,0.86128,0.42915,1.81087,1.01593,0.00216,0.0014555,0.0014555,0.0014555
24,2462.31,1.94317,0.99223,0.00147,0.87419,0.77953,0.84502,0.41785,1.86841,0.98437,0.00224,0.00143075,0.00143075,0.00143075
25,2554.01,1.90511,0.94103,0.00141,0.8631,0.74803,0.84924,0.4232,1.8542,0.93226,0.00224,0.001406,0.001406,0.001406
26,2646.02,1.83471,0.9101,0.00135,0.87764,0.77953,0.86142,0.41697,1.89993,0.99144,0.00227,0.00138125,0.00138125,0.00138125
27,2745.71,1.90065,0.96268,0.0014,0.89344,0.76772,0.85142,0.40905,1.91557,0.943,0.00231,0.0013565,0.0013565,0.0013565
28,2837.6,1.89907,0.92945,0.00145,0.90368,0.77567,0.86731,0.44354,1.83826,0.88634,0.00227,0.00133175,0.00133175,0.00133175
29,2929.37,1.86989,0.87713,0.0014,0.88365,0.8189,0.8737,0.43636,1.86694,0.84611,0.00228,0.001307,0.001307,0.001307
30,3025.31,1.84193,0.909,0.00137,0.9215,0.75984,0.85831,0.42208,1.83315,0.93019,0.00226,0.00128225,0.00128225,0.00128225
31,3117.25,1.83612,0.91176,0.00135,0.91182,0.7874,0.88488,0.43567,1.87709,0.89844,0.0023,0.0012575,0.0012575,0.0012575
32,3216.65,1.83077,0.89463,0.00135,0.93325,0.77061,0.85307,0.42119,1.90584,0.91927,0.00224,0.00123275,0.00123275,0.00123275
33,3308.67,1.83183,0.84456,0.00138,0.88372,0.81102,0.87824,0.44857,1.80257,0.87031,0.0022,0.001208,0.001208,0.001208
34,3400.55,1.82618,0.85561,0.00132,0.89676,0.78651,0.8694,0.42552,1.90104,0.894,0.00228,0.00118325,0.00118325,0.00118325
35,3498.51,1.83012,0.84881,0.00134,0.89834,0.80015,0.8647,0.42519,1.83426,0.87069,0.00224,0.0011585,0.0011585,0.0011585
36,3590.33,1.8213,0.83834,0.00136,0.90741,0.8189,0.90027,0.44824,1.85448,0.8081,0.00222,0.00113375,0.00113375,0.00113375
37,3689.85,1.82679,0.83679,0.00132,0.92698,0.79967,0.88657,0.4511,1.75591,0.88898,0.00212,0.001109,0.001109,0.001109
38,3786.76,1.8193,0.84377,0.00134,0.93925,0.79132,0.89066,0.44759,1.80745,0.80601,0.0022,0.00108425,0.00108425,0.00108425
39,3885.87,1.81919,0.79907,0.00136,0.88875,0.80709,0.88523,0.45163,1.73363,0.80566,0.00212,0.0010595,0.0010595,0.0010595
40,3982.58,1.82503,0.82015,0.0013,0.92137,0.80315,0.87991,0.45357,1.78393,0.83765,0.00215,0.00103475,0.00103475,0.00103475
41,4081.88,1.81307,0.83837,0.00132,0.94783,0.78686,0.89066,0.44331,1.8324,0.82351,0.0022,0.00101,0.00101,0.00101
42,4178.79,1.81345,0.80571,0.0013,0.91601,0.84252,0.91511,0.4571,1.80549,0.77244,0.00216,0.00098525,0.00098525,0.00098525
43,4278.12,1.80018,0.78003,0.00129,0.90103,0.80709,0.87621,0.43951,1.83632,0.85534,0.00225,0.0009605,0.0009605,0.0009605
44,4375.08,1.78423,0.77538,0.00126,0.88161,0.82093,0.89541,0.44359,1.8078,0.84344,0.00222,0.00093575,0.00093575,0.00093575
45,4474.62,1.80035,0.74668,0.00131,0.92931,0.83465,0.88941,0.45635,1.80583,0.81101,0.00219,0.000911,0.000911,0.000911
