epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4149.55,1.76531,0.78254,0.00127,0.88591,0.80247,0.88783,0.47565,1.62912,0.93595,0.00179,0.00098525,0.00098525,0.00098525
43,4235.86,1.79466,0.81693,0.0013,0.92537,0.78189,0.88349,0.47254,1.60209,0.96094,0.0018,0.0009605,0.0009605,0.0009605
44,4322.11,1.73208,0.80967,0.00127,0.90571,0.79057,0.88882,0.47678,1.63863,0.84308,0.00184,0.00093575,0.00093575,0.00093575
45,4408.46,1.72697,0.74957,0.00124,0.92269,0.77778,0.88975,0.47887,1.58492,0.88523,0.00177,0.000911,0.000911,0.000911
46,4494.77,1.76054,0.79474,0.00125,0.89834,0.83639,0.89184,0.45685,1.63826,0.85785,0.00182,0.00088625,0.00088625,0.00088625
47,4581.09,1.73976,0.76423,0.00124,0.95109,0.79012,0.90089,0.47309,1.60845,0.91889,0.00179,0.0008615,0.0008615,0.0008615
48,4667.5,1.69397,0.75261,0.00122,0.90996,0.74074,0.87398,0.45666,1.72084,0.94324,0.00186,0.00083675,0.00083675,0.00083675
49,4753.87,1.69161,0.78051,0.00121,0.91696,0.79424,0.89195,0.47058,1.58461,0.90202,0.00175,0.000812,0.000812,0.000812
50,4840.19,1.71187,0.74173,0.00124,0.92061,0.81129,0.90059,0.48903,1.58169,0.85432,0.00173,0.00078725,0.00078725,0.00078725
51,4926.6,1.70001,0.72918,0.0012,0.92053,0.81037,0.89664,0.48929,1.59211,0.7849,0.00175,0.0007625,0.0007625,0.0007625
52,5012.38,1.70264,0.72442,0.00122,0.91341,0.83128,0.91254,0.48899,1.56544,0.80182,0.00171,0.00073775,0.00073775,0.00073775
53,5100.53,1.66871,0.71515,0.00118,0.90466,0.80658,0.8903,0.47563,1.57257,0.84376,0.00172,0.000713,0.000713,0.000713
54,5191.92,1.68564,0.74693,0.00117,0.92091,0.79424,0.88878,0.47886,1.58891,0.83609,0.00174,0.00068825,0.00068825,0.00068825
55,5390.05,1.6883,0.70927,0.0012,0.91684,0.81893,0.90558,0.47829,1.62086,0.8079,0.00177,0.0006635,0.0006635,0.0006635
56,5567,1.64386,0.66992,0.00116,0.89413,0.8107,0.88675,0.47621,1.56632,0.82711,0.00173,0.00063875,0.00063875,0.00063875
57,5712.89,1.65244,0.69489,0.00116,0.94643,0.78189,0.89741,0.47848,1.5746,0.91935,0.00175,0.000614,0.000614,0.000614
